PO Number;PO Date;Vendor;Vendor Description;Requester;PO Created By;Shopping Cart Number;Project;Project Description;WBS Element;WBS Element Description;Cost Center;Cost Center Description;PO Net Amount;Tax Amount;Total Amount Legal Entity Currency;PO Line Nr.;PO Status;PO Line Text;Delivery Date;Legal Entity Currency Code;Value in document currency;Document currency code;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Change Date;Purchase requisition;Procurement Plant;Contract #;Joint Commodity Code;PO Title;Version;FI Doc No
P000896688;2024-08-27;10110498;ELEKTRO KREUTZPOINTNER GMBH;DIETRIM8;ANNENKA1;;C.32.03262.543.0;;C.32.03262.543.024.181;1 - MOBILFUNKINFRA FÜR BAU 543;3251601601;PROJEKTE ALCM UND SCOPES;3988.08;0.00;3988.08;1;open;GEB. 543 / 2405180;2025-05-01;EUR;3988.08;EUR;capex;2;2.4;2.4.18-C;2024-08-27;R100797354;4511;2024053659;X20050401;PO1 FOR DECTP | LWL ANBINDUNG;;6164P000896688000001C3203262543024181
P000911600;2024-09-06;10001084;VWR INTERNATIONAL GMBH;ELHARIRA;ELHARIRA;;C.32.03666.400.2;;C.32.03666.400.200.100;B-EQUIPMENT;3253100214;DOZ MANAGEMENT;191.70;0.00;191.70;2;closed;LABORFLASCHE GEWINDE: GL45 MATERIAL: KLARGLAS DURAN VOLUM;2024-09-04;EUR;191.70;EUR;capex;0;0.0;0.0.00-C;2025-10-02;R100815064;4510;MA00587059;X15100101;PO1 FOR VWR VERBRAUCHSMATERIALIEN SCHOTT BOTTLES;;6164P000911600000002C3203666400200100
9110218556;2022-07-04;10007727;GRONINGER & CO GMBH;SONNTAC1;HANG6;1004114939;C.32.01263.652.0;;C.32.01263.652.042.101;INSTALLATION PACKAGE UNITS;3253100341;DOMMD LIQUID E1G EQ;3360.00;0.00;3360.00;2;closed;REPP- EINGABEFELD AM HMI;;EUR;3360.00;EUR;capex;4;4.2;4.2.10-C;2022-07-04;;4511;;X20100200;REPP-SOFTWAREUMSTELLUNG ELECSYS LINIE 2;;61649110218556000002C3201263652042101
9110204859;2022-01-20;10110528;BECKHOFF AUTOMATION GMBH & CO KG;BERNHAH1;BERNHAH1;1003970257;C.32.01261.364.1;;C.32.01261.364.135.101;PSC2M-FA2-HARDWARE;3253100613;MFG MA - BUSINESS SUPPORT;70742.00;0.00;70742.00;1;open;ARTIKEL N. ANGEBOT SQ00310026-2;2022-11-29;EUR;70742.00;EUR;capex;0;0.0;0.0.00-C;2022-10-26;;4510;;X20100200;PSC2M-FA2 BECKHOFF FIETZ 20.01.2022;;61649110204859000001C3201261364135101
9110160997;2020-07-02;10045704;KUNSTSTOFF PACKUNGEN AG;WEYMANNA;GEILINGM;1003442789;C.32.00056.001.0;;C.32.00056.001.073.159;"MUSTER; TESTMATERIAL";3253100035;DOMM MANAGEMENT;10800.00;0.00;10800.00;1;open;KASSETTE E2G KG-NR. 80.043;2020-08-31;EUR;10800.00;EUR;capex;7;7.3;7.3.15-O;2020-07-02;;4510;;X95150200;WEYMANNA 19.06.2020 07:21:29;;61649110160997000001C3200056001073159
2111112162;2021-08-16;10120664;ALEXANDER BUERKLE GMBH + CO KG;STREIBIO;MAIORANO;1003824097;C.32.02892.380.0;;C.32.02892.380.035.111;MSLCM - ANSATZ;3253100035;DOMM MANAGEMENT;36.42;0.00;36.42;8;open;LAPP ÖLFLEX EB 2X100 QMM;2021-08-10;EUR;36.42;EUR;capex;0;0.0;0.0.00-C;2021-08-16;;4510;;X20100200;STREIBIO BÜRKLE-LAPP;;61642111112162000008C3202892380035111
2111200265;2022-05-04;10108651;IEF WERNER GMBH;MAIERA7;BERNHAH1;1004063883;C.32.02550.470.0;;C.32.02550.470.062.111;CLM2M - DTGMT EXT. ENG. AUTOMATION;3253100035;DOMM MANAGEMENT;264.60;0.00;264.60;3;open;KABELVERBINDER TYP: 4-POL. STIFT M8X1;2022-07-15;EUR;264.60;EUR;capex;6;6.2;6.2.11-C;2022-05-04;;4510;;X20100200;CLM2M IEF WERNER MAIER 04.05.2022;;61642111200265000003C3202550470062111
P000474359;2023-11-08;10108604;INTERFLEX DATENSYSTEME GMBH;ROTHERZ;MOSLERA;;C.32.02835.360.0;;C.32.02835.360.021.211;MA 21 CONSTRUCTION CAPEX;3253510400;DOM NMPA READIN PREP;66.75;0.00;66.75;4;open;LAP 800 DESIGN KIT EVAYO SCHWARZ FÜR 00-800-0080;2023-11-22;EUR;66.75;EUR;capex;0;0.0;0.0.00-C;2023-11-08;R100412398;4510;MA00464438;X40050203;PO1 FOR INTERFLEX PROJEKT NMPAM BF36 ZENAS ROTHER;;6164P000474359000004C3202835360021211
P000956404;2024-10-09;10111391;ALBW HANDELS GMBH;BOETTCE1;BOETTCE1;;C.32.03585.470.0;;C.32.03585.470.038.151;CKAP2M - PALETTIERER;3251200010;TOOLS AND MATERIAL;20.72;0.00;20.72;1;closed;SICHERHEITS-GUMMISTIEFEL GELB  GR: 41;;EUR;20.72;EUR;capex;3;3.8;3.8.15-C;2025-02-05;R100860754;4510;;X20000000;PO1 FOR GUMMISTIEFEL;;6164P000956404000001C3203585470038151
9110182742;2021-04-23;10113581;BIOCHEM GMBH;LORENTM1;EMIRSEIS;;C.32.02835.999.0;;C.32.02835.999.081.109;OWNER PROJECT OPEX;3253510400;DOM NMPA READIN PREP;22565.00;0.00;22565.00;2;open;MIKROBIOL. UMGEBUNGSMONIT. ANG. 211169;2022-06-30;EUR;22565.00;EUR;capex;8;8.1;8.1.10-O;2023-05-30;;4510;;X10050205;LORENTM1 NMPARXM BIOCHEM;;61649110182742000002C3202835999081109
P000543986;2024-01-02;10118308;CONCEPT GMBH + CO KG;REINERR;ANNENKA1;;C.32.03867.900.0;;C.32.03867.900.062.151;EXTERN PROJEKT SGU;3251100023;LEITUNG VER- U. ENTSORGUNG;74374.00;0.00;74374.00;1;open;IE25P | SIGEKO/CSHEE/R;2025-12-31;EUR;74374.00;EUR;capex;6;6.2;6.2.15-C;2025-09-17;R100476194;4511;;X20000000;PO1 FOR IE25P | SIGEKO/CSHEE/R;;6164P000543986000001C3203867900062151
P000957793;2024-10-14;10120664;ALEXANDER BUERKLE GMBH + CO KG;MARTHOLD;MARTHOLD;;C.32.05173.200;;C.32.05173.200;ELECTRIC;3253510139;MISCELLANEOUS EXPENSES PROJECTS;56.10;0.00;56.10;14;open;PF VAZ-CLAMP-70MM ANSCHLUSSKLEMME FÜR S. VAZ-CLAMP-70MM;2024-10-08;EUR;56.10;EUR;capex;0;0.0;0.0.00-C;2025-01-02;R100859126;4510;;X20000000;PO1 FOR REQ_ERSATZTEILE WTLOM_BÜRKLE_ANGEBOT_114176279;;6164P000957793000014C3205173200000000
9110224077;2022-10-11;10498917;SOORCE GMBH;EINENKES;ANNENKA1;1004186270;C.32.02275.131.0;;C.32.02275.131.062.281;EXTERN DIGITALISIERUNG;3251601131;GEB. 131 LEAP OFFICE;99200.00;0.00;99200.00;1;open;LEAP | INTEGRATION IT-ANWENDUNGEN IOT;2023-08-31;EUR;99200.00;EUR;capex;0;0.0;0.0.00-C;2022-10-13;;4511;;X40150202;LEAP | INTEGRATION IT-ANWENDUNGEN IOT;;61649110224077000001C3202275131062281
P001247970;2025-03-31;10007307;VOGELBUSCH BIOPHARMA GMBH;ZELLNERS;LAKATOSD;;C.32.04118.430.0;;C.32.04118.430.042.121;GSB SAMMLUNG;3253100609;DOZCC SBX;1290500.00;0.00;1290500.00;1;open;SBXRRP- GSB SAMMLUNG;2026-05-15;EUR;1290500.00;EUR;capex;4;4.2;4.2.12-C;2025-10-08;R101103264;4511;2025093309;X20100000;PO1 FOR SBXRRP- GSB SAMMLUNG;;6164P001247970000001C3204118430042121
P001459381;2025-08-28;10007295;GEMUE GEBR MUELLER APPARATEBAU;MAAGM1;HILLMANB;;C.32.01294.431.0;;C.32.01294.431.039.171;PWE  UND PWV B 8.431;3251100041;VE-WASSER;57.06;0.00;57.06;8;open;88301394 200 STÜCK 2853 / 1 STÜCK 5706 EUR  600 4;2025-09-09;EUR;57.06;EUR;capex;3;3.9;3.9.17-C;2025-09-08;R101298095;4511;;X20100000;PO1 FOR RPWG1P_GEMÜ_ANGEBOT 1004263319;;6164P001459381000008C3201294431039171
2111221333;2022-07-07;10113577;RUBIX GMBH;KROELLA1;KROELLA1;1004120182;C.32.02319.470.2;;C.32.02319.470.235.161;HIPMOM_PP HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;8.43;0.00;8.43;2;open;M 2.5X30 DIN 912 A2 ZYLINDERSCHRAUBE MIT;2022-07-11;EUR;8.43;EUR;capex;0;0.0;0.0.00-C;2022-07-07;;4510;;X20100200;KROELLA1 07.07.2022 15:24:50;;61642111221333000002C3202319470235161
P001333548;2025-06-02;10000535;CYTIVA EUROPE GMBH;GUTMAND1;GUTMAND1;;C.32.03666.300.1;;C.32.03666.300.100.110;LARGE & MID- SCALE ORG. SYNTHESIS;3253100214;DOZ MANAGEMENT;93.26;0.00;93.26;1;closed;SUPRACAP AKS 2 SC050XAK2;2025-05-28;EUR;93.26;EUR;capex;0;0.0;0.0.00-C;2025-07-04;R101184012;4511;;X15100105;PO1 FOR REQUEST4;;6164P001333548000001C3203666300100110
6000540156;2019-02-15;10284468;PCC SOLUTIONS GMBH;MILDENM1;OBERTS;;C.32.01265.291.0;;C.32.01265.291.062.131;RMIM PM SERVICE EXT ENG;3253100125;POC COMPOUNDING EQ;18600.00;0.00;18600.00;30;open;1. NT ERSTELLUNG LASTENHEFT;2020-07-30;EUR;18600.00;EUR;capex;6;6.2;6.2.13-C;2020-02-07;3136112836;4510;;X20250100;;;61646000540156000030C3201265291062131
2111147038;2021-11-24;10114153;SIEMENS AG SIEMENS DEUTSCHLAND;WOLFA14;WOLFA14;1003922641;C.32.03317.470.0;;C.32.03317.470.038.121;CKAP1M - PALETTIERER;3253100035;DOMM MANAGEMENT;3051.87;0.00;3051.87;1;open;"SIMATIC IPC 477E 19' TOUCH (1366 X 768);";2021-11-26;EUR;3051.87;EUR;capex;3;3.8;3.8.12-C;2021-11-24;;4510;;X20100200;WOLFA14 24.11.2021 14:29:57;;61642111147038000001C3203317470038121
9110165827;2020-09-17;10113276;BAYERISCHE WAAGENBAU WERK;BAUERM34;GEIGERC6;1003520647;C.32.01705.444.0;;C.32.01705.444.031.111;KESSEL REAKTOREN;3253510372;DOZC GEN. MFG COST;28352.84;0.00;28352.84;1;open;LIABPP/ PR100 WAAGEN;2020-11-27;EUR;28352.84;EUR;capex;3;3.1;3.1.11-C;2020-09-17;;4511;;X15100109;LIABPP/ PR100 WAAGEN;;61649110165827000001C3201705444031111
9110235280;2023-06-27;10110016;MERCK CHEMICALS GMBH;MASLAKD;SVANET;1004361062;C.32.02160.341.0;;C.32.02160.341.043.121;ROHRLEITUNGSMONTAGE;3253510373;DOZB GEN. MFG COST 2;1962.00;0.00;1962.00;1;open;EG22/380X490-3D0 INGOLD NOVASE;2023-09-25;EUR;1962.00;EUR;capex;4;4.3;4.3.12-C;2023-09-12;;4511;;X15150107;CIPKP_NOVASEPTUM HALTER + PROBENAHME;;61649110235280000001C3202160341043121
9110181842;2021-04-14;10110498;ELEKTRO KREUTZPOINTNER GMBH;MOCKH;EICHNERJ;1003716837;C.32.00398.221.0;;C.32.00398.221.024.121;ELEKTRO;3251601221;GEB. 221 FORSCHUNG PHARMA;232119.12;0.00;232119.12;1;open;L221BP E600 ELEKTROINSTALLATION;2021-07-30;EUR;232119.12;EUR;capex;2;2.4;2.4.12-C;2021-04-14;;4511;;X20050401;L221BP E600 ELEKTROINSTALLATION;;61649110181842000001C3200398221024121
2111278535;2023-03-07;10113675;THOMAS PRENNTZELL SACHV. FUER;JUNGFLEK;HILLMANB;1004290465;C.32.03069.900.0;;C.32.03069.900.062.231;PLANUNG GENERALÜBERNEHMER;3251100028;DAMPF PZ;4584.00;0.00;4584.00;1;open;COSP-BRANDSCHUTZNACHWEISERSTELLUNG;2023-10-30;EUR;4584.00;EUR;capex;6;6.2;6.2.23-C;2023-03-07;;4511;;X20250200;COSP-BRANDSCHUTZNACHWEISERSTELLUNG;;61642111278535000001C3203069900062231
9110188274;2021-07-05;10239868;SPIE LIFE SCIENCE ENGINEERING GMBH;GABLERC1;GABLERC1;;C.32.02892.380.0;;C.32.02892.380.044.221;MSLCM - PI-ANBINDUNG/AUTOMATION;3253100035;DOMM MANAGEMENT;9168.65;0.00;9168.65;6;open;5.NT - ÄM35 - PROZESSVERKABELUNG ICOTEK;2021-12-31;EUR;9168.65;EUR;capex;0;0.0;0.0.00-C;2021-12-06;;4510;;X20150402;KIMMELT MSLCM / OTTO;;61649110188274000006C3202892380044221
P001519745;2025-10-09;10117368;WILLI STOBER GMBH & CO KG;ZELLINGM;ANNENKA1;;C.32.02275.131.0;;C.32.02275.131.028.121;SCHLIEßANLAGEN;3251601131;GEB. 131 LEAP OFFICE;2262.90;0.00;2262.90;1;open;LEAP | 4X ZYLINDER ANTIPANIK GEB. 131;2025-11-30;EUR;2262.90;EUR;capex;2;2.8;2.8.12-C;2025-10-09;R101353591;4511;;X20000000;PO1 FOR LEAP | 4X ZYLINDER ANTIPANIK GEB. 131;;6164P001519745000001C3202275131028121
2111187026;2022-03-24;10113882;LYRECO ADVANTAGE DEUTSCHLAND GMBH +;WENUSK;WENUSK;1004030632;C.32.02994.252.0;;C.32.02994.252.073.129;NEBENKOSTEN - KOSTEN;3253100576;DOZCB NUKLEOTIDES;5.45;0.00;5.45;11;open;PRITT KLEBESTIFT WA12 MITTEL 6 X 22 G;2022-03-28;EUR;5.45;EUR;capex;7;7.3;7.3.12-O;2022-03-24;;4511;;X30050200;WENUSK BÜRO B2;;61642111187026000011C3202994252073129
6000612997;2019-08-07;10113675;THOMAS PRENNTZELL SACHV. FUER;AIGNERA1;SPRUNGS;;C.32.00708.741.1;;C.32.00708.741.162.101;EXTERN BAU;3253100214;DOZ MANAGEMENT;823.00;0.00;823.00;10;open;RFLP BRANDSCHUTZNACHWEIS;2019-08-31;EUR;823.00;EUR;capex;6;6.2;6.2.10-C;2019-08-07;3157568673;4511;;X25050700;;;61646000612997000010C3200708741162101
P000784704;2024-06-13;10504984;STEFAN MAAS FRAESTECHNIK;BRACKA;BRACKA;;C.32.03585.470.0;;C.32.03585.470.038.111;CKAP2M - DEPALETTIERER;3253100035;DOMM MANAGEMENT;450.00;0.00;450.00;1;closed;NIO-MIN L9 000205328;2024-06-26;EUR;450.00;EUR;capex;3;3.8;3.8.11-C;2025-03-20;R100701736;4510;;X20150500;PO1 FOR LK 24628 PRÜFLINGE;;6164P000784704000001C3203585470038111
2111209189;2022-05-31;10460241;ETA ENGINEERING GMBH;BERNHAH1;BERNHAH1;1004086590;C.32.02550.470.0;;C.32.02550.470.035.251;CLM2M - DTGMT DESIGN & DEVELOP;3253100035;DOMM MANAGEMENT;350.00;0.00;350.00;1;open;000187513 – BAUGRUPPE MIT MAYTEC-PROFILE;2022-06-30;EUR;350.00;EUR;capex;0;0.0;0.0.00-C;2022-05-31;;4510;;X40100200;CLM2M ETA HEIDUK 30.05.2022;;61642111209189000001C3202550470035251
P001196057;2025-03-03;10110489;SIEMENS AG;BERNHAH1;BERNHAH1;;C.32.04089.105.0;;C.32.04089.105.038.181;LINE 105 - AUTOMATION EXTERN;3253100035;DOMM MANAGEMENT;124.00;0.00;124.00;10;open;LEITUNGSSCHUTZSCHALTER 400V 10KA 3-POLI;2025-03-24;EUR;124.00;EUR;capex;0;0.0;0.0.00-C;2025-03-27;R101066874;4510;;X20000000;PO1 FOR CLMCIM LINIE 105 SIEMENS MAIER 03.03.2025;;6164P001196057000010C3204089105038181
9110177054;2021-02-15;10201121;MTECH SUED GMBH;PROBSTA3;HILLMANB;1003667663;C.32.02994.252.0;;C.32.02994.252.012.131;DEMONTAGEN;3253100576;DOZCB NUKLEOTIDES;15450.00;0.00;15450.00;2;open;CENP2P-RÜCKBAU LÜFTUNGSANL. G252/E300;2021-02-26;EUR;15450.00;EUR;capex;1;1.2;1.2.13-C;2021-03-09;;4511;;X20050900;PROBSTA3 15.02.2021 17:26:05;;61649110177054000002C3202994252012131
P001027640;2024-11-22;10507837;NNIT GERMANY GMBH;NICKLASM;CAUWENBE;;C.32.04471.350.0;;C.32.04471.350.062.111;EXTERN PROZESS;3253510459;DOM UA  ALLOC. CAPEX;24876.00;0.00;24876.00;6;open;MS2WM DIGITALISIERUNG UNTERSTÜTZUNG CE;2025-07-31;EUR;24876.00;EUR;capex;6;6.2;6.2.11-C;2025-06-23;;4510;;X35050000;PO1 FOR DCOM-MS2WM/NNIT - DIGITALISIERUNG;;6164P001027640000006C3204471350062111
P001057698;2024-12-09;10558675;S I C ENTWICKLUNGS + VERTRIEBS GMBH;HELLMUTM;HELLMUTM;;C.32.02275.131.0;;C.32.02275.131.081.171;USER R&D IT;3251601131;GEB. 131 LEAP OFFICE;6216.00;0.00;6216.00;1;closed;SMART - LIFT MIT FLACHDISPLAYHALTERUNG ABLAGEPLATTE MIT KEY;2024-12-06;EUR;6216.00;EUR;capex;0;0.0;0.0.00-C;2025-03-26;R100953919;4511;;X25050202;PO1 FOR SIC ROLLWAGEN;;6164P001057698000001C3202275131081171
2110964520;2020-06-02;10113074;REINHART SCHOCH GMBH;EIFLERM;EIFLERM;1003427335;C.32.00056.001.0;;C.32.00056.001.073.159;"MUSTER; TESTMATERIAL";3253100035;DOMM MANAGEMENT;6.55;0.00;6.55;1;open;HINWEISSCHILD - BETRIEBSKENNZEICHNUNG NO;2020-06-04;EUR;6.55;EUR;capex;7;7.3;7.3.15-O;2020-06-02;;4510;;X30050200;EIFLERM 02.06.2020 13:54:56;;61642110964520000001C3200056001073159
6001310190;2024-03-07;10120789;THERMO FISHER SCIENTIFIC;HABERSA2;HABERSA2;;C.32.03666.300.1;;C.32.03666.300.100.120;LAB-SCALE ORG. SYNTHESIS;3253100214;DOZ MANAGEMENT;996.42;0.00;996.42;10;open;UCIFERASE-08F RECOMB. FIRE FLY LUCIFERA;2024-02-01;EUR;1086.00;USD;capex;0;0.0;0.0.00-C;2024-03-07;;4511;;X90300111;;;61646001310190000010C3203666300100120
P000526903;2023-12-13;10117368;WILLI STOBER GMBH & CO KG;STILLEM1;KORNDOEK;;C.32.01294.431.0;;C.32.01294.431.024.121;STARKSTROMINSTALLATIONEN;3251100041;VE-WASSER;110.08;0.00;110.08;1;open;G8.431 ABUS KOMPAKT-BLINDZYLINDER TI;2023-12-18;EUR;110.08;EUR;capex;2;2.4;2.4.12-C;2023-12-13;R100463357;4511;;X20000000;PO1 FOR G8.431 BLINDZYLINDER;;6164P000526903000001C3201294431024121
9110175512;2021-01-27;10114504;JENVAR GMBH;TEAGARDD;GABLERC1;1003648202;C.32.02835.999.0;;C.32.02835.999.081.109;OWNER PROJECT OPEX;3253510400;DOM NMPA READIN PREP;598.50;0.00;598.50;1;open;ÜBERARBEITUNG IQS_REC_RD_21111_R0028_D;2021-02-26;EUR;598.50;EUR;capex;8;8.1;8.1.10-O;2021-01-27;;4510;;X20250100;TEAGARDD 27.01.2021 10:55:02;;61649110175512000001C3202835999081109
2111237805;2022-09-06;10112712;J SCHMALZ GMBH;DETLOFFA;GABLERC1;1004163748;C.32.02319.470.0;;C.32.02319.470.035.161;HIPMOM_RAD HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;171.06;0.00;171.06;1;open;BALGSAUGGREIFER;2022-09-30;EUR;171.06;EUR;capex;0;0.0;0.0.00-C;2022-09-06;;4510;;X20100200;DETLOFFA HIPMOM / SCHMALZ;;61642111237805000001C3202319470035161
9110194549;2021-09-22;10110016;MERCK CHEMICALS GMBH;HILLMANB;EICHNERJ;1003859389;C.32.02994.252.0;;C.32.02994.252.031.191;EQUIPMENT PROZESS;3253100576;DOZCB NUKLEOTIDES;37127.20;0.00;37127.20;1;open;CENP2P MILLI-Q® IQ 7000;2022-03-14;EUR;37127.20;EUR;capex;3;3.1;3.1.19-C;2023-08-25;;4511;;X15100101;CENP2P MILLI-Q® IQ 7000;;61649110194549000001C3202994252031191
9110215648;2022-05-25;10113468;GASSNER GLASTECHNIK GMBH;PROBSTA3;HILLMANB;1004081958;C.32.02994.252.0;;C.32.02994.252.073.129;NEBENKOSTEN - KOSTEN;3253100576;DOZCB NUKLEOTIDES;843.20;0.00;843.20;22;open;MEßKOLBEN 2000 ML;2022-08-31;EUR;843.20;EUR;capex;7;7.3;7.3.12-O;2022-05-25;;4511;;X15150102;CENP2P-SAUGFLASCHEN MESSZYL.BECHERGLÄSE;;61649110215648000022C3202994252073129
9110172295;2020-12-05;10109431;SCHREINEREI BAUMGARTNER GBR;GERGM2;EICHNERJ;1003604034;C.32.02649.341.1;;C.32.02649.341.112.139;DEMONTAGE / RÜCKBAU DXRED (KST);3251601683;PROJEKTE CPS;7054.00;0.00;7054.00;1;open;LS341P FENSTERBRETTER NORD;2021-01-25;EUR;7054.00;EUR;capex;1;1.2;1.2.13-O;2021-02-23;;4511;;X20050802;LS341P FENSTERBRETTER NORD;;61649110172295000001C3202649341112139
P001499478;2025-09-25;10108604;INTERFLEX DATENSYSTEME GMBH;PINSKERC;PINSKERC;;C.32.02275.131.0;;C.32.02275.131.024.151;MEDIENTECHNIK;3251601131;GEB. 131 LEAP OFFICE;10044.00;0.00;10044.00;1;open;LAP 5735 EVAYO TIME RECORDING TERMINAL BLACK;2025-10-17;EUR;10044.00;EUR;capex;2;2.4;2.4.15-C;2025-09-26;R101335561;4511;;X40050203;PO1 FOR IF 5735 TR LEAP TERMINALS;;6164P001499478000001C3202275131024151
9110180123;2021-03-22;10111617;DOBLER GMBH & CO KG;WOLTHAUM;EICHNERJ;1003701758;C.32.00730.444.0;;C.32.00730.444.028.331;MALER TROCKENBAU TÜREN (INNENAUSBAU);3251601442;GEB. 442;49091.39;0.00;49091.39;1;open;L44XAP BAUARBEITEN VAKUUMPUMPENRAUM;2021-10-28;EUR;49091.39;EUR;capex;2;2.8;2.8.33-C;2022-04-11;;4511;;X20050200;L44XAP BAUARBEITEN VAKUUMPUMPENRAUM;;61649110180123000001C3200730444028331
