FI Doc No;FI Doc Date;Posting Date;Document Type;Document Type Desc;PO No;PO Line No;Vendor;Vendor Description;Vendor Invoice No;Project Nr.;Project Description;WBS;WBS Description;G/L Account;G/L Account Desc;Cost Center;Cost Center Desc;Product Desc;Item Text;Document Header Text;Payment Terms;Net Due Date;Invoice Amount Legal Entity currency;Creation date;SAP Invoice No.;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Legal Entity Currency Code;Value in document currency;Document currency Code;Quantity;Personnel Number;PO Final Invoice indicator;Value Type;Miro Invoice #;Goods Received Value
616401271984480062021;2021-04-21;2021-04-21;WE;Goods receipt;9110168221;8;10112508;ELEKTRO SCHOEFFMANN;;C.32.02649.341.1;;C.32.02649.341.124.121;Elektroleistungen DXRED;212203801;DIA GR/IR NON-TRADE;;;;4.NT B341 Mehrungen lt. Mehr-/Minderlist;;;;1000.00;;5004845287;capex;2;2.4;2.4.12-C;EUR;1000.00;EUR;0;0;N;;5004845287;
616403248423145812022;2022-06-28;2022-06-29;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.141;Qualifizierung Intern;;;;;;;;;;784.00;;8051360;capex;5;5.2;5.2.14-C;EUR;784.00;EUR;8.000;0;;;8051360;
616403211426917282021;2021-03-22;2021-03-26;;;;0;;-;;C.32.03028.999.0;;C.32.03028.999.052.139;PI - interne Planung;;;;;;;;;;0.00;;6387713;capex;5;5.2;5.2.13-O;EUR;2250.00;EUR;0;0;;;6387713;
616403277092371372023;2023-06-26;2023-06-27;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.131;PM & Services Intern;;;;;;;;;;0.00;2023-06-27;9347081;capex;5;5.2;5.2.13-C;EUR;0.00;EUR;750;0;;;9347081;
616403233539715812021;2021-12-21;2021-12-21;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.151;Roche Team Projekt SGU;;;;;;;;;;59.50;;7382974;capex;5;5.2;5.2.15-C;EUR;59.50;EUR;500;0;;;7382974;
616402030602130032022;2022-08-24;2022-08-24;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.073.129;Allg Projektkosten (Workshops Meetings);;;3251601683;Projekte CPS;;Invoice 5200327187 falsch kontiert - Projektessen;;;;-1243.83;;;capex;7;7.3;7.3.12-O;EUR;-1243.83;EUR;0;0;;;;
616401355206360012022;2022-11-16;2022-11-16;WE;Goods receipt;9110201815;1;10111617;DOBLER GMBH & CO KG;;C.32.03028.651.0;;C.32.03028.651.028.331;Innenausbau;212203801;DIA GR/IR NON-TRADE;;;;LS651P GU Leistungen;;;;396981.01;;5006523147;capex;2;2.8;2.8.33-C;EUR;396981.01;EUR;0;0;Y;;5006523147;
616403245874700742022;2022-05-23;2022-05-27;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.151;Roche Team Projekt SGU;;;;;;;;;;258.00;;7931006;capex;5;5.2;5.2.15-C;EUR;258.00;EUR;2.000;0;;;7931006;
616401404784870012023;2023-11-16;2023-11-16;WE;Goods receipt;9110231385;1;10119310;SMB INDUSTRIES GMBH;;C.32.03391.252.0;;C.32.03391.252.044.181;Prozessautomation;212203801;DIA GR/IR NON-TRADE;;;;LS761P Rohrleitungsmontage;;;;159656.06;2023-11-16;5007536543;capex;4;4.4;4.4.18-C;EUR;159656.06;EUR;0;0;N;;5007536543;
616401154147880012018;2018-11-21;2018-11-21;WE;Goods receipt;6000470726;20;10116415;IDONEUS ANLAGENBAU G;;C.32.01705.444.0;;C.32.01705.444.062.111;Prozess Extern;212203801;DIA GR/IR NON-TRADE;;;;LIABPP/PP600 Planung Prozess CD/BD;;;;4000.00;;5002566136;capex;6;6.2;6.2.11-C;EUR;4000.00;;0;0;N;;5002566136;
616401290733390012021;2021-08-23;2021-08-23;WE;Goods receipt;9110185369;1;10109669;JAKOB HAIBEL & CO.KG;;C.32.02654.233.0;;C.32.02654.233.029.119;Mobiliar (Kst)  DXREA;212203801;DIA GR/IR NON-TRADE;;;;LS233P-Umzug G233;;;;0.00;;5005213800;capex;2;2.9;2.9.11-O;EUR;4248.50;EUR;0;0;N;;5005213800;
616403284367297492023;2023-09-11;2023-09-26;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.141;Qualifizierung Intern;;;;;;;;;;2000.18;2023-09-26;9610001;capex;5;5.2;5.2.14-C;EUR;2000.18;EUR;13.000;0;;;9610001;
616403264541020232023;2023-01-25;2023-01-25;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.131;Roche Team PM & Service;;;;;;;;;;4900.00;2023-01-25;8765032;capex;5;5.2;5.2.13-C;EUR;4900.00;EUR;35.000;0;;;8765032;
616401275059370012021;2021-05-10;2021-05-10;WE;Goods receipt;9110178957;1;10127793;THOST PROJEKTMANAGEM;;C.32.03028.999.0;;C.32.03028.999.062.139;PI - externe Planung;212203801;DIA GR/IR NON-TRADE;3252100027;Project Initiations;;LS651P-PS-Leistungen PI-Phase;;;;1895.75;;5004903588;capex;6;6.2;6.2.13-O;EUR;1895.75;EUR;0;0;N;;5004903588;
616401321585130032022;2022-03-22;2022-03-22;WE;Goods receipt;9110187916;3;10111617;DOBLER GMBH & CO KG;;C.32.02654.233.0;;C.32.02654.233.028.339;Innenausbau DXREA (Kst);212203801;DIA GR/IR NON-TRADE;;;;LS233P NT01 BAUMEISTERARBEITEN (COST);;;;0.00;;5005826778;capex;2;2.8;2.8.33-O;EUR;914.32;EUR;0;0;N;;5005826778;
616403299653587412024;2024-03-25;2024-03-27;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.131;PM & Services Intern;;;;;;;;;;284.00;2024-03-27;10104517;capex;5;5.2;5.2.13-C;EUR;284.00;EUR;2.000;0;;;10104517;
616401249367570012020;2020-11-26;2020-11-26;EI;;2111024312;1;10112629;CKS CHRISTINE'S KAFF;0000000020201512;C.32.01705.444.0;;C.32.01705.444.073.999;Sonstige Nebenkosten;;;3253510372;DOZC Gen. Mfg Cost;;H-Milch 15%;;60 DAYS NET;2021-01-25;70.00;;5108373473;capex;0;0.0;0.0.00-O;EUR;70.00;EUR;0;0;N;;5108373473;0.00
616401318062580012022;2022-02-28;2022-02-28;WE;Goods receipt;9110185369;3;10109669;JAKOB HAIBEL & CO.KG;;C.32.02654.233.0;;C.32.02654.233.029.119;Mobiliar (Kst)  DXREA;212203801;DIA GR/IR NON-TRADE;;;;2. NT LS233P-Umzug G233;;;;0.00;;5005755876;capex;2;2.9;2.9.11-O;EUR;573.15;EUR;0;0;N;;5005755876;
616401271975010022021;2021-04-21;2021-04-21;WE;Goods receipt;6000767062;20;10110407;WALDNER LABOREINRICH;;C.32.02649.341.2;;C.32.02649.341.229.109;Labormöblierung (Kst.)  DXRER;212203801;DIA GR/IR NON-TRADE;3251601683;Projekte CPS;;LS341P/DXRER Laborausstattung (Kst);;;;5000.00;;5004845152;capex;2;2.9;2.9.10-O;EUR;5000.00;EUR;0;0;N;;5004845152;
616403257522742692022;2022-10-17;2022-10-25;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.151;SGU Intern;;;;;;;;;;1290.00;;8444656;capex;5;5.2;5.2.15-C;EUR;1290.00;EUR;10.000;0;;;8444656;
616401330780820032022;2022-05-18;2022-05-25;IR;;;0;10114181;LANDHOTEL HOISL BRAE;0000000000030165;C.32.03028.651.0;;C.32.03028.651.073.129;Allg Projektkosten (Workshops Meetings);;;3251601683;Projekte CPS;;;;;2022-05-24;90.00;;5102152439;capex;7;7.3;7.3.12-O;EUR;90.00;EUR;0;0;;;5102152439;
616403264839625632023;2023-01-23;2023-01-30;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.121;MSR Intern;;;;;;;;;;5460.00;2023-01-30;8794295;capex;5;5.2;5.2.12-C;EUR;5460.00;EUR;39.000;0;;;8794295;
616403295500320952024;2024-02-08;2024-02-08;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.241;Techn. Service Intern;;;;;;;;;;262.50;2024-02-08;9965943;capex;5;5.2;5.2.24-C;EUR;262.50;EUR;2.500;0;;;9965943;
616403167374340232019;2019-08-14;2019-08-14;;;;0;;-;;C.32.01705.444.0;;C.32.01705.444.081.101;Stunden Userteam (Invest);;;;;;;;;;-516.00;;4310403;capex;8;8.1;8.1.10-C;EUR;0.00;;-6.000;0;;;4310403;
616401281406820012021;2021-06-22;2021-06-22;WE;Goods receipt;9110168317;1;10128842;TROCKENBAU LOTZ CHRI;;C.32.02649.341.1;;C.32.02649.341.128.331;Innenausbau DXRED;212203801;DIA GR/IR NON-TRADE;;;;LS341P-Trockenbauarbeiten-Tueren;;;;800.00;;5005026952;capex;2;2.8;2.8.33-C;EUR;800.00;EUR;0;0;Y;;5005026952;
616401307320490072021;2021-12-13;2021-12-13;WE;Goods receipt;6000755829;120;10373911;AITP GMBH;;C.32.02649.341.9;;C.32.02649.341.962.171;HLKK extern;212203801;DIA GR/IR NON-TRADE;;;;5.NT LS341P TPK Bau & Koord._Verlaengerun;;;;7000.00;;5005542898;capex;6;6.2;6.2.17-C;EUR;7000.00;EUR;0;0;Y;;5005542898;
616403190892193572020;2020-06-22;2020-06-30;;;;0;;-;;C.32.02649.999.0;;C.32.02649.999.052.139;PI Interne Planung;;;3252100027;Project Initiations;;;;;;2205.00;;5441651;capex;5;5.2;5.2.13-O;EUR;2205.00;EUR;15.000;0;;;5441651;
616403235608514852022;2022-01-25;2022-01-25;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.201;Roche Team Spezialisten (Labor);;;;;;;;;;330.00;;7466254;capex;5;5.2;5.2.20-C;EUR;330.00;EUR;3.000;0;;;7466254;
616403307115911042024;2024-06-13;2024-06-19;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.241;Techn. Service Intern;;;;;;;;;;1248.00;2024-06-19;10341547;capex;5;5.2;5.2.24-C;EUR;1248.00;EUR;12.000;0;;;10341547;
616401386871280032023;2023-07-05;2023-07-05;WE;Goods receipt;9110233492;3;10114237;HOPF VERTRIEBSGESELL;;C.32.03391.252.0;;C.32.03391.252.044.181;Prozessautomation;212203801;DIA GR/IR NON-TRADE;;;;LS761P-Art.Nr.942074001-ACA31;;;;140.36;2023-07-05;5007158922;capex;4;4.4;4.4.18-C;EUR;140.36;EUR;0;0;N;;5007158922;
616401403501430302023;2023-11-07;2023-11-07;KX;Employee Expenses;;0;44403209;;;C.32.03391.252.0;;C.32.03391.252.052.241;Techn. Service Intern;;;;;;Daily Allowance (gross)|;;;;25.00;2023-11-07;1818297 1;capex;5;5.2;5.2.24-C;EUR;25.00;EUR;0;717028;;;1818297 1;
616401327030250022022;2022-04-28;2022-04-28;WE;Goods receipt;9110209948;2;10119529;BRANDSCHUTZ ANDRAE M;;C.32.03028.651.0;;C.32.03028.651.036.129;Möbel;212203801;DIA GR/IR NON-TRADE;3251601683;Projekte CPS;;LS651P Wandhalter;;;;14.70;;5005937024;capex;3;3.6;3.6.12-O;EUR;14.70;EUR;0;0;N;;5005937024;
616401412045960022024;2024-01-10;2024-01-10;KX;Employee Expenses;;0;44403209;;;C.32.03391.252.0;;C.32.03391.252.073.129;Nebenkosten (KST);;;;;;Daily Allowance (gross)|;;;;0.00;2024-01-10;1956603 1;capex;7;7.3;7.3.12-O;EUR;25.00;EUR;0;717028;;;1956603 1;
616403197300603082020;2020-09-14;2020-09-30;;;;0;;-;;C.32.02649.341.9;;C.32.02649.341.952.201;Roche Team Spezialisten;;;;;;;;;;267.75;;5748138;capex;5;5.2;5.2.20-C;EUR;267.75;EUR;2.250;0;;;5748138;
616401177160650012019;2019-05-22;2019-05-22;WE;Goods receipt;6000542836;10;10114768;PHARMAPLAN GMBH;;C.32.01705.444.0;;C.32.01705.444.062.111;Prozess Extern;212203801;DIA GR/IR NON-TRADE;;;;LIABPP/PM025 TPK Prozess Einarbeitung BD;;;;2000.00;;5003014007;capex;6;6.2;6.2.11-C;EUR;2000.00;;0;0;N;;5003014007;
616401458109120012024;2024-11-18;2024-11-18;WE;Goods receipt;9110232937;2;10116415;IDONEUS ANLAGENBAU G;;C.32.03391.252.0;;C.32.03391.252.031.191;Equipment Prozess;212203801;DIA GR/IR NON-TRADE;;;;LS761P 1.NT Terminanpassung Mischstation;;;;1.00;2024-11-18;5008634496;capex;3;3.1;3.1.19-C;EUR;1.00;EUR;0;0;N;;5008634496;
616401269988800022021;2021-03-29;2021-04-08;EI;;2111053153;2;10000776;METTLER TOLEDO GMBH;0000000708907261;C.32.00700.470.0;;C.32.00700.470.036.211;ECESRM-Nebenanlagen;;;;;;Bestellung laut Angebot Nr. 321664084;;60 DAYS NET;2021-05-29;-3705.15;;5108603042;capex;3;3.6;3.6.21-C;EUR;-3705.15;EUR;0;0;N;;5108603042;0.00
616403231009527102021;2021-11-23;2021-11-23;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;;;;;;Schweissnahtpruefung Billfinger;;;;465.00;;7246704;capex;4;4.3;4.3.15-C;EUR;465.00;EUR;5.000;0;;;7246704;
616401280860500012021;2021-06-17;2021-06-17;WE;Goods receipt;9110181119;1;10109317;DENIOS SE;;C.32.00700.470.0;;C.32.00700.470.043.991;ECESRM-Ansatzsystem Sonstiges;212203801;DIA GR/IR NON-TRADE;;;;ANS_Wannen_Regale;;;;6076.20;;5005016931;capex;4;4.3;4.3.99-C;EUR;6076.20;EUR;0;0;N;;5005016931;
616401289027710032021;2021-08-10;2021-08-10;WE;Goods receipt;9110190096;8;10000776;METTLER TOLEDO GMBH;;C.32.00700.470.0;;C.32.00700.470.036.211;ECESRM-Nebenanlagen;212203801;DIA GR/IR NON-TRADE;;;;Angebot 321832373;;;;114.75;;5005179225;capex;3;3.6;3.6.21-C;EUR;114.75;EUR;0;0;N;;5005179225;
616401308868030042021;2021-12-22;2021-12-23;EI;;2111151255;5;10120664;ALEXANDER BUERKLE GM;0000000016807881;C.32.00700.470.0;;C.32.00700.470.037.181;ECESRM-Fördereinrichtungen;;;;;;Rittal SK 3238200 Austrittsfilter;;3% 14 DAYS 60 DAYS NET;2022-02-20;15.33;;5109069691;capex;0;0.0;0.0.00-C;EUR;15.33;EUR;0;0;N;;5109069691;0.00
616401314420270012022;2022-02-02;2022-02-02;EI;;2111162367;1;10113074;REINHART SCHOCH GMBH;0000000002121247;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;;;;;;Warnschild Warnung vor feuergefaehrlichen;;2% 14 DAYS 60 DAYS NET;2022-04-03;16.00;;5109130685;capex;4;4.3;4.3.15-C;EUR;16.00;EUR;0;0;N;;5109130685;0.00
616403234685073952022;2022-01-10;2022-01-17;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;;;;;;Geb.470 Druckluftleitung;;;;960.00;;7430765;capex;4;4.3;4.3.15-C;EUR;960.00;EUR;12.000;0;;;7430765;
616403260164271312022;2022-11-28;2022-11-28;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.052.171;ECESRM-Automatisierungsleiter Maschinen;;;;;;;;;;488.00;;8576146;capex;5;5.2;5.2.17-C;EUR;488.00;EUR;4.000;0;;;8576146;
616402037067650232024;2024-02-15;2024-02-15;;;;1;;-;;C.32.00700.470.0;;C.32.00700.470.043.991;ECESRM-Ansatzsystem Sonstiges;;;;;;Best 2111228137/1 Belegnr.134058338 = Kosten;;;;-69.56;2024-02-15;;capex;4;4.3;4.3.99-C;EUR;-69.56;EUR;0;0;N;;;
616403213934041312021;2021-04-27;2021-04-27;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.052.101;ECESRM-Projekt Management;;;;;;;;;;11350.50;;6498927;capex;5;5.2;5.2.10-C;EUR;11350.50;EUR;80.500;0;;;6498927;
616402027893960022021;2021-12-08;2021-12-08;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;;;;;;PE-T-Stueck da 40;;;;78.33;;;capex;4;4.3;4.3.15-C;EUR;78.33;EUR;0;0;;;;
616401281837900012021;2021-06-18;2021-06-24;EI;;6000836056;10;10108864;PROMOTIONSERVICE SCH;0000000090213955;C.32.00700.470.0;;C.32.00700.470.071.990;ECESRM-Sonstige Nebenkosten;;;;;;div. Werbeartikel groesser 5 Euro;;;2021-08-17;0.00;;5108743138;capex;7;7.1;7.1.99-O;EUR;1983.25;EUR;0;0;;;5108743138;
616401236827950472020;2020-09-02;2020-09-02;WE;Goods receipt;9110162467;47;10016078;HEWLETT PACKARD GMBH;;C.32.00700.470.0;;C.32.00700.470.044.201;ECESRM-Ansatz Automation;212203801;DIA GR/IR NON-TRADE;;;;HPE DL Gen10 x8 x16 x8 Rsr Kit;;;;37.05;;5004163621;capex;4;4.4;4.4.20-C;EUR;37.05;EUR;0;0;N;;5004163621;
616401289404530012021;2021-08-12;2021-08-12;WA;Goods issue;;0;;-;;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;114105804;DIA STOCK RM OTHER INV. LSM;;;;;;;;78.80;;4921076979;capex;4;4.3;4.3.15-C;EUR;78.80;EUR;0;0;;;4921076979;
616401314420270022022;2022-02-02;2022-02-02;EI;;2111162367;2;10113074;REINHART SCHOCH GMBH;0000000002121247;C.32.00700.470.0;;C.32.00700.470.043.151;ECESRM-Ansatzsystem VT;;;;;;Warnschild Warnung vor giftigen Stoffen;;2% 14 DAYS 60 DAYS NET;2022-04-03;16.00;;5109130685;capex;4;4.3;4.3.15-C;EUR;16.00;EUR;0;0;N;;5109130685;0.00
616403157161000652019;2019-03-20;2019-03-20;;;;0;;-;;C.32.00700.470.0;;C.32.00700.470.052.191;ECESRM-Automatisierungsleiter PU A&V;;;;;;;;;;7670.00;;3792217;capex;5;5.2;5.2.19-C;EUR;0.00;;59.000;0;;;3792217;
