changes.implementationTracker.resourceAllocation.addResourceModal.totalCost;Total Cost;Gesamtkosten;Coût total;Coste total;Łączny koszt;Gesamtkoste;
changes.implementationTracker.resourceAllocation.addResourceModal.cancel;Cancel;Abbrechen;Annuler;Cancelar;Anuluj;Abbreche;
changes.implementationTracker.resourceAllocation.addResourceModal.add;Add Resource;Ressource hinzufügen;Ajouter une ressource;Añadir recurso;Dodaj zasób;Ressource hinzuefüege;
changes.implementationTracker.resourceAllocation.addResourceModal.types.human;Human Resource;Personal;Ressources humaines;Recursos humanos;Zasoby ludzkie;Menschligi Ressource;
changes.implementationTracker.resourceAllocation.addResourceModal.types.equipment;Equipment;Ausrüstung;Équipement;Equipos;Sprzęt;Ausrüstig;
changes.implementationTracker.resourceAllocation.addResourceModal.types.material;Material;Material;Matériel;Materiales;Materiały;Material;
changes.implementationTracker.resourceAllocation.addResourceModal.types.contractor;Contractor;Auftragnehmer;Sous-traitant;Contratistas;Wykonawca;Auftragnehmer;
changes.implementationTracker.progressReporting.title;Progress Reports;Fortschrittsberichte;Rapports d'avancement;Informes de progreso;Raporty z postępów;Forschrittsberichte;
changes.implementationTracker.progressReporting.generateReport;Generate Report;Bericht erstellen;Générer un rapport;Generar informe;Wygeneruj raport;Bericht erstelle;
changes.implementationTracker.progressReporting.reportDate;Progress Report;Fortschrittsbericht;Rapport d'avancement;Informe de progreso;Raport z postępów;Forschrittsbericht;
changes.implementationTracker.progressReporting.complete;complete;vollständig;Tâches;Completar;zakończone;vollständig;
changes.implementationTracker.progressReporting.tasks;tasks;Aufgaben;terminées;tareas;zadania;Aufgabe;
changes.implementationTracker.progressReporting.scheduleVariance;Schedule Variance;Planabweichung;Écart par rapport au calendrier;Variación del calendario;Odchylenie od harmonogramu;Planabweichig;
changes.implementationTracker.progressReporting.costVariance;Cost Variance;Kostenabweichung;Écart par rapport au coût;Variación del coste;Odchylenie od kosztu;Kostenabweichig;
changes.implementationTracker.progressReporting.keyAchievements;Key Achievements;Wichtige Erfolge;Réalisations clés;Logros clave;Kluczowe osiągnięcia;Wichtig Erfolge;
changes.implementationTracker.progressReporting.upcomingMilestones;Upcoming Milestones;Anstehende Meilensteine;Prochaines étapes importantes;Próximos hitos;Nadchodzące kamienie milowe;Anstehendi Meilesteine;
changes.implementationTracker.progressReporting.viewFullReport;View Full Report;Vollständigen Bericht anzeigen;Afficher le rapport complet;Ver informe completo;Wyświetl pełny raport;Vollschtändige Bericht aazeige;
changes.implementationTracker.progressReporting.noReports;No progress reports;Keine Fortschrittsberichte;Aucun rapport d'avancement;Sin informes de progreso;Brak raportów z postępów;Keini Forschrittsberichte;
changes.implementationTracker.progressReporting.generateFirst;Generate your first progress report to track implementation status.;Erstellen Sie Ihren ersten Fortschrittsbericht, um den Implementierungsstatus zu verfolgen.;Générez votre premier rapport d'avancement pour suivre l'état d'avancement de la mise en œuvre.;Genere su primer informe de progreso para realizar un seguimiento del estado de la implementación.;Wygeneruj swój pierwszy raport z postępów, aby śledzić status wdrożenia.;Erstelle din erschte Forschrittsbericht, um de Ymplementierigsstatus zu verfolge.;
changes.implementationTracker.progressReporting.reportModal.title;Progress Report;Fortschrittsbericht;Rapport d'avancement;Informe de progreso;Raport z postępów;Forschrittsbericht;
changes.implementationTracker.progressReporting.reportModal.progressSummary;Progress Summary;Fortschrittsübersicht;Résumé de l'avancement;Resumen del progreso;Podsumowanie postępów;Forschrittsübersicht;
changes.implementationTracker.progressReporting.reportModal.overallProgress;Overall Progress;Gesamtfortschritt;Avancement global;Progreso general;Ogólny postęp;Gesamtfortschritt;
changes.implementationTracker.progressReporting.reportModal.tasksCompleted;Tasks Completed;Abgeschlossene Aufgaben;Tâches terminées;Tareas completadas;Zakończone zadania;Abgschlosseni Aufgabe;
changes.implementationTracker.progressReporting.reportModal.scheduleVariance;Schedule Variance;Planabweichung;Écart par rapport au calendrier;Variación del calendario;Odchylenie od harmonogramu;Planabweichig;
changes.implementationTracker.progressReporting.reportModal.costVariance;Cost Variance;Kostenabweichung;Écart par rapport au coût;Variación del coste;Odchylenie od kosztu;Kostenabweichig;
changes.implementationTracker.progressReporting.reportModal.keyAchievements;Key Achievements;Wichtige Erfolge;Réalisations clés;Logros clave;Kluczowe osiągnięcia;Wichtig Erfolge;
changes.implementationTracker.progressReporting.reportModal.upcomingMilestones;Upcoming Milestones;Anstehende Meilensteine;Prochains jalons;Próximos hitos;Nadchodzące kamienie milowe;Anstehendi Meilesteine;
changes.implementationTracker.progressReporting.reportModal.risksAndIssues;Risks and Issues;Risiken und Probleme;Risques et problèmes;Riesgos y problemas;Ryzyka i problemy;Risike und Probleme;
changes.implementationTracker.progressReporting.reportModal.nextPeriodFocus;Next Period Focus;Fokus der nächsten Periode;Focus de la prochaine période;Enfoque del próximo período;Skupienie na następnym okresie;Fokus der nächschte Periode;
changes.implementationTracker.statuses.planned;Planned;Geplant;Planifié;Planificado;Planowane;Geplant;
changes.implementationTracker.statuses.in_progress;In Progress;In Bearbeitung;En cours;En progreso;W trakcie;In Bearbeitig;
changes.implementationTracker.statuses.completed;Completed;Abgeschlossen;Terminé;Completado;Zakończone;Abgschlosse;
changes.implementationTracker.statuses.on_hold;On Hold;In Wartestellung;En attente;En espera;Wstrzymane;Uf Halt;
changes.implementationTracker.statuses.cancelled;Cancelled;Abgebrochen;Annulé;Cancelado;Anulowane;Abgbreche;
changes.implementationTracker.statuses.on_track;on track;auf Kurs;sur la bonne voie;en curso;na torze;uf Kurs;
changes.implementationTracker.statuses.at_risk;at risk;gefährdet;à risque;en riesgo;zagrożone;gfährdet;
changes.implementationTracker.statuses.behind;behind;hinten;en retard;atrás;opóźnione;hinten;
changes.implementationTracker.severities.low;Low;Niedrig;Faible;Bajo;Niski;Niedrig;
changes.implementationTracker.severities.medium;Medium;Mittel;Moyen;Medio;Średni;Mittel;
changes.implementationTracker.severities.high;High;Hoch;Élevé;Alto;Wysoki;Hoch;
changes.implementationTracker.severities.critical;Critical;Kritisch;Critique;Crítico;Krytyczny;Kritisch;
changes.implementationTracker.noImplementationPlan;No Implementation Plan;Kein Implementierungsplan;Aucun plan de mise en œuvre;No hay plan de implementación;Brak planu wdrożenia;Kei Ymplementierigsplan;
changes.implementationTracker.noImplementationPlanMessage;This change request does not have an active implementation plan.;Diese Änderungsanforderung hat keinen aktiven Implementierungsplan.;Cette demande de modification n'a pas de plan de mise en œuvre actif.;Esta solicitud de cambio no tiene un plan de implementación activo.;To żądanie zmiany nie ma aktywnego planu wdrożenia.;Die Änderigsaforderig hat kei aktive Ymplementierigsplan.;
changes.implementationTracker.loading;Loading...;Laden...;Chargement...;Cargando...;Ładowanie...;Lade...;
changes.approvalWorkflowConfiguration.title;Approval Workflow Configuration;Genehmigungs-Workflow-Konfiguration;Configuration du workflow d'approbation;Configuración del flujo de aprobación;Konfiguracja przepływu zatwierdzania;Genehmigigs-Workflow-Konfiguraation;
changes.approvalWorkflowConfiguration.subtitle;Manage approval rules, authority matrix, and workflow templates;Verwalten von Genehmigungsregeln, Autoritätsmatrix und Workflow-Vorlagen;Gérer les règles d'approbation, la matrice d'autorité et les modèles de workflow;Gestionar reglas de aprobación, matriz de autoridad y plantillas de flujo de trabajo;Zarządzaj regułami zatwierdzania, macierzą autorytetu i szablonami przepływu pracy;Verwalte Genehmigigsregle, Autoritätsmatrix und Workflow-Vorlage;
changes.approvalWorkflowConfiguration.tabs.rules;Approval Rules;Genehmigungsregeln;Règles d'approbation;Reglas de aprobación;Reguły zatwierdzania;Genehmigigsregle;
changes.approvalWorkflowConfiguration.tabs.authority;Authority Matrix;Autoritätsmatrix;Matrice d'autorité;Matriz de autoridad;Macierz autorytetu;Autoritätsmatrix;
changes.approvalWorkflowConfiguration.tabs.templates;Workflow Templates;Workflow-Vorlagen;Modèles de workflow;Plantillas de flujo de trabajo;Szablony przepływu pracy;Workflow-Vorlage;
changes.approvalWorkflowConfiguration.rules.title;Approval Rules;Genehmigungsregeln;Règles d'approbation;Reglas de aprobación;Reguły zatwierdzania;Genehmigigsregle;
changes.approvalWorkflowConfiguration.rules.createRule;Create Rule;Regel erstellen;Créer une règle;Crear regla;Utwórz regułę;Regel erstelle;
changes.approvalWorkflowConfiguration.rules.active;Active;Aktiv;Actif;Activo;Aktywny;Aktiv;
changes.approvalWorkflowConfiguration.rules.inactive;Inactive;Inaktiv;Inactif;Inactivo;Nieaktywny;Inaktiv;
changes.approvalWorkflowConfiguration.rules.priority;Priority;Priorität;Priorité;Prioridad;Priorytet;Priorität;
changes.approvalWorkflowConfiguration.rules.changeTypes;Change Types;Änderungstypen;Types de modifications;Tipos de cambio;Typy zmian;Änderigstypen;
changes.approvalWorkflowConfiguration.rules.priorityLevels;Priority Levels;Prioritätsstufen;Niveaux de priorité;Niveles de prioridad;Poziomy priorytetu;Prioritätsstufe;
changes.approvalWorkflowConfiguration.rules.costThreshold;Cost Threshold;Kostenschwelle;Seuil de coût;Umbral de costo;Próg kosztów;Kosteschwelle;
changes.approvalWorkflowConfiguration.rules.min;Min;Min;Min;Mín;Min;Min;
changes.approvalWorkflowConfiguration.rules.max;Max;Max;Max;Máx;Maks;Max;
changes.approvalWorkflowConfiguration.rules.noLimit;No limit;Keine Grenze;Aucune limite;Sin límite;Bez limitu;Kei Grenze;
changes.approvalWorkflowConfiguration.rules.steps;Steps;Schritte;Étapes;Pasos;Kroki;Schritt;
changes.approvalWorkflowConfiguration.rules.used;Used;Verwendet;Utilisé;Usado;Użyty;Verwendet;
changes.approvalWorkflowConfiguration.rules.times;times;mal;fois;veces;razy;mal;
changes.approvalWorkflowConfiguration.rules.lastUsed;Last used;Zuletzt verwendet;Dernière utilisation;Último uso;Ostatnio używany;Zuletzt verwendet;
changes.approvalWorkflowConfiguration.rules.approvalSteps;Approval Steps;Genehmigungsschritte;Étapes d'approbation;Pasos de aprobación;Kroki zatwierdzania;Genehmigigsschritt;
changes.approvalWorkflowConfiguration.rules.step;Step;Schritt;Étape;Paso;Krok;Schritt;
changes.approvalWorkflowConfiguration.rules.parallel;Parallel;Parallel;Parallèle;Paralelo;Równoległy;Parallel;
changes.approvalWorkflowConfiguration.rules.optional;Optional;Optional;Optionnel;Opcional;Opcjonalny;Optional;
changes.approvalWorkflowConfiguration.rules.approvers;Approvers;Genehmiger;Approbateurs;Aprobadores;Zatwierdzający;Genehmiger;
changes.approvalWorkflowConfiguration.rules.timing;Timing;Zeitplanung;Timing;Tiempo;Czas;Ziitplanig;
changes.approvalWorkflowConfiguration.rules.due;Due;Fällig;Due;Vencimiento;Do;Fällig;
changes.approvalWorkflowConfiguration.rules.days;days;Tage;jours;días;dni;Täg;
changes.approvalWorkflowConfiguration.rules.escalate;Escalate;Eskalieren;Escalader;Escalar;Eskaluj;Eskaliere;
changes.approvalWorkflowConfiguration.rules.authority;Authority;Autorität;Autorité;Autoridad;Autorytet;Autoritet;
changes.approvalWorkflowConfiguration.rules.cost;Cost;Kosten;Coût;Coste;Koszt;Koste;
changes.approvalWorkflowConfiguration.rules.schedule;Schedule;Zeitplan;Calendrier;Calendario;Harmonogram;Ziitplan;
changes.approvalWorkflowConfiguration.rules.deleteConfirm;Are you sure you want to delete this approval rule?;Sind Sie sicher, dass Sie diese Genehmigungsregel löschen möchten?;Êtes-vous sûr de vouloir supprimer cette règle d'approbation?;¿Está seguro de que quiere eliminar esta regla de aprobación?;Czy na pewno chcesz usunąć tę regułę zatwierdzania?;Bisch sicher, dass du die Genehmigigsregel löschä witt?;
changes.approvalWorkflowConfiguration.authority.title;Approval Authority Matrix;Genehmigungs-Autoritätsmatrix;Matrice d'autorité d'approbation;Matriz de autoridad de aprobación;Macierz autorytetu zatwierdzania;Genehmigigs-Autoritätsmatrix;
changes.approvalWorkflowConfiguration.authority.addAuthority;Add Authority;Autorität hinzufügen;Ajouter une autorité;Añadir autoridad;Dodaj autorytet;Autoritet hinzuefüege;
changes.approvalWorkflowConfiguration.authority.active;Active;Aktiv;Actif;Activo;Aktywny;Aktiv;
changes.approvalWorkflowConfiguration.authority.inactive;Inactive;Inaktiv;Inactif;Inactivo;Nieaktywny;Inaktiv;
changes.approvalWorkflowConfiguration.authority.costAuthority;Cost Authority;Kostenautorität;Autorité de coût;Autoridad de costo;Autorytet kosztów;Kostenautoritet;
changes.approvalWorkflowConfiguration.authority.scheduleAuthority;Schedule Authority;Zeitplanautorität;Autorité de calendrier;Autoridad de calendario;Autorytet harmonogramu;Ziitplanautoritet;
changes.approvalWorkflowConfiguration.authority.daysAuthority;days authority;Tage-Autorität;jours autorité;días autoridad;dni autorytet;Täg-Autoritet;
changes.approvalWorkflowConfiguration.authority.changeTypesAuthorized;Change Types Authorized;Autorisierte Änderungstypen;Types de changements autorisés;Tipos de cambio autorizados;Autoryzowane typy zmian;Autorisierti Änderigstypen;
changes.approvalWorkflowConfiguration.authority.projectPhasesAuthorized;Project Phases Authorized;Autorisierte Projektphasen;Phases de projet autorisées;Fases de proyecto autorizadas;Autoryzowane fazy projektu;Autorisierti Projektphase;
changes.approvalWorkflowConfiguration.authority.delegationSettings;Delegation Settings;Delegations-Einstellungen;Paramètres de délégation;Configuraciones de delegación;Ustawienia delegacji;Delegations-Iistellige;
changes.approvalWorkflowConfiguration.authority.canDelegate;Can Delegate;Kann delegieren;Peut déléguer;Puede delegar;Może delegować;Chann delegiere;
changes.approvalWorkflowConfiguration.authority.canReceiveDelegations;Can Receive Delegations;Kann Delegationen empfangen;Peut recevoir des délégations;Puede recibir delegaciones;Może otrzymywać delegacje;Chann Delegatione empfaange;
changes.approvalWorkflowConfiguration.authority.backupApprovers;Backup Approvers;Backup-Genehmiger;Approbateurs de secours;Aprobadores de respaldo;Zapasowi zatwierdzający;Backup-Genehmiger;
changes.approvalWorkflowConfiguration.authority.effectiveDates;Effective Dates;Gültigkeitsdaten;Dates d'effet;Fechas efectivas;Daty wejścia w życie;Gültigkeitsdate;
changes.approvalWorkflowConfiguration.authority.from;From;Von;De;De;Od;Von;
changes.approvalWorkflowConfiguration.authority.until;Until;Bis;Jusqu'à;Hasta;Do;Bis;
changes.approvalWorkflowConfiguration.authority.deleteConfirm;Are you sure you want to delete this authority configuration?;Sind Sie sicher, dass Sie diese Autoritätkonfiguration löschen möchten?;Êtes-vous sûr de vouloir supprimer cette configuration d'autorité?;¿Está seguro de que quiere eliminar esta configuración de autoridad?;Czy na pewno chcesz usunąć tę konfigurację autorytetu?;Bisch sicher, dass du die Autoritetkonfiguraation löschä witt?;
changes.approvalWorkflowConfiguration.templates.title;Workflow Templates;Workflow-Vorlagen;Modèles de workflow;Plantillas de flujo de trabajo;Szablony przepływu pracy;Workflow-Vorlage;
changes.approvalWorkflowConfiguration.templates.createTemplate;Create Template;Vorlage erstellen;Créer un modèle;Crear plantilla;Utwórz szablon;Vorlag erstelle;
changes.approvalWorkflowConfiguration.templates.systemTemplate;System Template;Systemvorlage;Modèle système;Plantilla de sistema;Szablon systemowy;Systemvorlag;
changes.approvalWorkflowConfiguration.templates.customTemplate;Custom Template;Benutzerdefinierte Vorlage;Modèle personnalisé;Plantilla personalizada;Szablon niestandardowy;Benutzerdefinierti Vorlag;
changes.approvalWorkflowConfiguration.templates.active;Active;Aktiv;Actif;Activo;Aktywny;Aktiv;
changes.approvalWorkflowConfiguration.templates.inactive;Inactive;Inaktiv;Inactif;Inactivo;Nieaktywny;Inaktiv;
changes.approvalWorkflowConfiguration.templates.recommendedFor;Recommended For;Empfohlen für;Recommandé pour;Recomendado para;Zalecane dla;Empfohle für;
changes.approvalWorkflowConfiguration.templates.changeTypes;Change Types;Änderungstypen;Types de changements;Tipos de cambio;Typy zmian;Änderigstypen;
changes.approvalWorkflowConfiguration.templates.priorityLevels;Priority Levels;Prioritätsstufen;Niveaux de priorité;Niveles de prioridad;Poziomy priorytetu;Prioritätsstufe;
changes.approvalWorkflowConfiguration.templates.costRanges;Cost Ranges;Kostenbereiche;Gammes de coûts;Rangos de costos;Zakresy kosztów;Kostenberich;
changes.approvalWorkflowConfiguration.templates.defaultSteps;Default Steps;Standard-Schritte;Étapes par défaut;Pasos predeterminados;Domyślne kroki;Standard-Schritt;
changes.approvalWorkflowConfiguration.templates.used;Used;Verwendet;Utilisé;Usado;Użyty;Verwendet;
changes.approvalWorkflowConfiguration.templates.times;times;mal;fois;veces;razy;mal;
changes.approvalWorkflowConfiguration.templates.lastUsed;Last used;Zuletzt verwendet;Dernière utilisation;Último uso;Ostatnio używany;Zuletzt verwendet;
changes.approvalWorkflowConfiguration.templates.useTemplate;Use Template;Vorlage verwenden;Utiliser le modèle;Usar plantilla;Użyj szablonu;Vorlag verwende;
